@relation news_kmeans2_efa_k9-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute Factor1 numeric
@attribute Factor2 numeric
@attribute Factor3 numeric
@attribute Factor4 numeric
@attribute Factor5 numeric
@attribute Factor6 numeric
@attribute Factor7 numeric
@attribute Factor8 numeric
@attribute Factor9 numeric
@attribute efa_kmeans_k9 {0,1,2,3,4,5,6,7,8}

@data
-0.053436,-0.052318,-0.004791,0.006622,-0.009015,-0.004232,-0.004719,0.016407,0.00252,1
0.214129,-0.041278,0.001954,-0.019182,-0.011861,0.033658,-0.004681,-0.000362,0.009547,1
0.004858,-0.001402,0.99907,0.001297,-0.004157,0.004271,-0.00203,0.000545,0.000822,7
0.011082,-0.002494,0.998895,0.000751,-0.004555,0.00482,-0.002128,0.000534,0.001198,7
0.014184,-0.00178,0.998964,0.000978,-0.00468,0.003146,-0.001888,0.000662,0.000897,7
0.197056,-0.004782,-0.003471,0.018424,0.006792,0.058679,-0.007103,-0.002341,-0.005167,1
0.15813,0.060904,0.007565,0.014129,-0.009929,0.037907,-0.010362,0.00588,-0.002934,1
0.029263,-0.036443,0.019934,0.02243,0.004069,0.052034,-0.009297,-0.005469,0.001392,1
0.021728,-0.069427,-0.001135,0.038473,0.00531,-0.018927,-0.00642,0.002401,-0.003881,1
0.942272,-0.025726,0.021331,0.006042,-0.04509,-0.076385,0.005969,-0.000749,0.012834,3
-0.005842,0.06708,-0.002976,-0.005174,0.079311,0.07895,-0.002691,0.003975,0.001822,1
0.035064,0.042715,-0.001066,-0.00936,0.029763,0.0378,0.011922,0.004295,-0.000187,1
-0.000829,-0.056511,0.010709,-0.02192,-0.012485,-0.0018,0.000784,0.005937,-0.016008,1
0.060137,0.110136,0.000298,-0.012138,-0.01654,-0.051029,0.008342,-0.004296,-0.00081,1
0.037204,0.077461,-0.000763,0.017863,0.006833,0.003418,-0.006524,-0.008662,0.00801,1
0.067705,0.147021,-0.001515,0.004898,-0.009208,-0.010433,-0.009516,0.012033,0.005664,1
